EMPLOYEE ID,EMPLOYEE NAME,ROLE,OFFICE CITY,JOINING DATE
E001,Amit Shah,Sales Associate,Mumbai,07-08-2022
E002,Priya Rao,Senior Sales Executive,Delhi,23-03-2024
E003,Vivek Kumar,Sales Associate,Bhubaneswar,23-06-2022
E004,Sneha Patil,Sales Executive,Kochi,18-10-2022
E005,Rahul Nair,Sales Associate,Delhi,11-10-2023
E006,Kavya Reddy,Senior Sales Executive,Kolkata,06-04-2022
E007,Arun Das,Sales Executive,Lucknow,20-11-2023
E008,Pooja Mehta,Sales Executive,Hyderabad,05-04-2024
E009,Kiran Joshi,Sales Executive,Mangaluru,26-01-2022
E010,Neha Singh,Sales Executive,Bengaluru,02-05-2023
E011,Rohit Verma,Sales Executive,Kolkata,12-04-2023
E012,Divya Iyer,Sales Associate,Pune,13-08-2023
E013,Manoj Shetty,Sales Associate,Mangaluru,15-12-2023
E014,Anjali Gupta,Senior Sales Executive,Pune,14-02-2023
E015,Sandeep Jain,Sales Executive,Mangaluru,03-11-2023
E016,Megha Sharma,Sales Executive,Ahmedabad,08-02-2024
E017,Naveen Patel,Sales Executive,Lucknow,08-03-2024
E018,Swathi Rao,Sales Executive,Pune,30-06-2022
E019,Harish Kumar,Sales Associate,Jaipur,15-06-2023
E020,Ramesh Nair,Sales Executive,Mumbai,25-07-2023
